serialCode,prizeId,prizeLabel
D733-0561,1,"50% Off Discount Coupon"
M295-1934,1,"50% Off Discount Coupon"
V598-5755,1,"50% Off Discount Coupon"
U306-2375,1,"50% Off Discount Coupon"
J672-3054,1,"50% Off Discount Coupon"
V650-3197,2,"30% Off Discount Coupon"
N879-6612,2,"30% Off Discount Coupon"
E700-2318,2,"30% Off Discount Coupon"
N556-3576,2,"30% Off Discount Coupon"
G991-2674,2,"30% Off Discount Coupon"
V169-8113,2,"30% Off Discount Coupon"
V817-9548,2,"30% Off Discount Coupon"
Y520-2235,2,"30% Off Discount Coupon"
V957-3306,2,"30% Off Discount Coupon"
A408-5402,2,"30% Off Discount Coupon"
K915-1337,2,"30% Off Discount Coupon"
E363-5741,2,"30% Off Discount Coupon"
R352-1290,2,"30% Off Discount Coupon"
F806-0288,2,"30% Off Discount Coupon"
E806-2405,2,"30% Off Discount Coupon"
J628-2186,2,"30% Off Discount Coupon"
L694-6414,2,"30% Off Discount Coupon"
L868-5013,2,"30% Off Discount Coupon"
E115-9110,2,"30% Off Discount Coupon"
A591-4747,2,"30% Off Discount Coupon"
V217-1327,2,"30% Off Discount Coupon"
G567-9113,2,"30% Off Discount Coupon"
C826-9913,2,"30% Off Discount Coupon"
D069-6751,2,"30% Off Discount Coupon"
X934-2872,2,"30% Off Discount Coupon"
K369-5755,2,"30% Off Discount Coupon"
L608-9248,2,"30% Off Discount Coupon"
X631-4944,2,"30% Off Discount Coupon"
R064-8529,2,"30% Off Discount Coupon"
D410-4446,2,"30% Off Discount Coupon"
L680-5026,2,"30% Off Discount Coupon"
Y161-8937,2,"30% Off Discount Coupon"
M921-5247,2,"30% Off Discount Coupon"
J163-4929,2,"30% Off Discount Coupon"
K498-5943,2,"30% Off Discount Coupon"
M134-8564,2,"30% Off Discount Coupon"
X174-8723,2,"30% Off Discount Coupon"
W699-5911,2,"30% Off Discount Coupon"
Y544-7533,2,"30% Off Discount Coupon"
U161-3519,2,"30% Off Discount Coupon"
M875-2220,2,"30% Off Discount Coupon"
W878-5863,2,"30% Off Discount Coupon"
P189-5054,2,"30% Off Discount Coupon"
E683-0995,2,"30% Off Discount Coupon"
R662-3294,2,"30% Off Discount Coupon"
N758-9496,2,"30% Off Discount Coupon"
G060-9770,2,"30% Off Discount Coupon"
P174-6184,2,"30% Off Discount Coupon"
M475-2448,2,"30% Off Discount Coupon"
R793-2951,2,"30% Off Discount Coupon"
V670-0898,2,"30% Off Discount Coupon"
A566-5985,2,"30% Off Discount Coupon"
D508-5270,2,"30% Off Discount Coupon"
A622-1036,2,"30% Off Discount Coupon"
F089-6213,2,"30% Off Discount Coupon"
N480-8636,2,"30% Off Discount Coupon"
M006-3296,2,"30% Off Discount Coupon"
R838-2750,2,"30% Off Discount Coupon"
J157-3653,2,"30% Off Discount Coupon"
F212-7174,2,"30% Off Discount Coupon"
Y567-1510,2,"30% Off Discount Coupon"
G702-9962,2,"30% Off Discount Coupon"
K794-1021,2,"30% Off Discount Coupon"
P872-3129,2,"30% Off Discount Coupon"
U420-4510,2,"30% Off Discount Coupon"
F031-7446,2,"30% Off Discount Coupon"
A542-5537,2,"30% Off Discount Coupon"
M248-9910,2,"30% Off Discount Coupon"
P395-6847,2,"30% Off Discount Coupon"
V735-3209,2,"30% Off Discount Coupon"
R654-7204,3,"25% Off Discount Coupon"
V516-2218,3,"25% Off Discount Coupon"
R835-5818,3,"25% Off Discount Coupon"
P627-6836,3,"25% Off Discount Coupon"
K091-8709,3,"25% Off Discount Coupon"
R973-3748,3,"25% Off Discount Coupon"
J168-9808,3,"25% Off Discount Coupon"
J111-7420,3,"25% Off Discount Coupon"
U341-4991,3,"25% Off Discount Coupon"
T999-9595,3,"25% Off Discount Coupon"
X731-6074,3,"25% Off Discount Coupon"
K370-4180,3,"25% Off Discount Coupon"
M299-5483,3,"25% Off Discount Coupon"
K810-6713,3,"25% Off Discount Coupon"
E535-4101,3,"25% Off Discount Coupon"
D328-3351,3,"25% Off Discount Coupon"
H969-3708,3,"25% Off Discount Coupon"
W838-2377,3,"25% Off Discount Coupon"
D000-7599,3,"25% Off Discount Coupon"
T982-0283,3,"25% Off Discount Coupon"
Y346-9799,3,"25% Off Discount Coupon"
D392-1256,3,"25% Off Discount Coupon"
G980-5283,3,"25% Off Discount Coupon"
N488-9694,3,"25% Off Discount Coupon"
X706-3479,3,"25% Off Discount Coupon"
Y946-7293,3,"25% Off Discount Coupon"
E941-4220,3,"25% Off Discount Coupon"
Y744-2472,3,"25% Off Discount Coupon"
N643-0155,3,"25% Off Discount Coupon"
A410-2717,3,"25% Off Discount Coupon"
N269-6673,3,"25% Off Discount Coupon"
A864-9229,3,"25% Off Discount Coupon"
C870-8213,3,"25% Off Discount Coupon"
F726-1413,3,"25% Off Discount Coupon"
F856-9046,3,"25% Off Discount Coupon"
E141-8200,3,"25% Off Discount Coupon"
E840-1525,3,"25% Off Discount Coupon"
E303-0948,3,"25% Off Discount Coupon"
P005-4200,3,"25% Off Discount Coupon"
M801-0812,3,"25% Off Discount Coupon"
J320-2614,3,"25% Off Discount Coupon"
L334-4831,3,"25% Off Discount Coupon"
T104-4357,3,"25% Off Discount Coupon"
V708-2886,3,"25% Off Discount Coupon"
M685-7794,3,"25% Off Discount Coupon"
L297-5685,3,"25% Off Discount Coupon"
R010-8112,3,"25% Off Discount Coupon"
Y013-7222,3,"25% Off Discount Coupon"
N391-3596,3,"25% Off Discount Coupon"
J531-8977,3,"25% Off Discount Coupon"
K654-5174,3,"25% Off Discount Coupon"
Y942-8344,3,"25% Off Discount Coupon"
X242-1782,3,"25% Off Discount Coupon"
N102-2623,3,"25% Off Discount Coupon"
L165-0102,3,"25% Off Discount Coupon"
M525-8749,3,"25% Off Discount Coupon"
P769-0380,3,"25% Off Discount Coupon"
A883-2191,3,"25% Off Discount Coupon"
G910-7932,3,"25% Off Discount Coupon"
A452-2082,3,"25% Off Discount Coupon"
J929-8754,3,"25% Off Discount Coupon"
M817-5887,3,"25% Off Discount Coupon"
D346-3963,3,"25% Off Discount Coupon"
W269-7301,3,"25% Off Discount Coupon"
E506-6182,3,"25% Off Discount Coupon"
A627-7567,3,"25% Off Discount Coupon"
E403-3080,3,"25% Off Discount Coupon"
F135-0891,3,"25% Off Discount Coupon"
F813-6666,3,"25% Off Discount Coupon"
M170-5329,3,"25% Off Discount Coupon"
X001-8890,3,"25% Off Discount Coupon"
L540-4647,3,"25% Off Discount Coupon"
P919-8302,3,"25% Off Discount Coupon"
V879-4130,3,"25% Off Discount Coupon"
U549-7102,3,"25% Off Discount Coupon"
J458-7775,3,"25% Off Discount Coupon"
Y740-6378,3,"25% Off Discount Coupon"
H940-3704,3,"25% Off Discount Coupon"
V646-4941,4,"AirPods"
F195-2532,5,"IPhone 14 Pro Max"
