serialCode,isWinner,prizeId
T336-5112,false,
H201-8668,false,
C829-5345,false,
A857-0535,false,
L642-3245,false,
E983-8840,false,
K926-7963,false,
Y829-3308,false,
U367-3278,false,
K589-0800,false,
L388-1415,false,
U950-1549,false,
L776-5491,false,
V782-6767,false,
K616-2284,false,
V194-1968,false,
G558-8093,false,
Y082-7652,false,
R279-0503,false,
P885-9963,false,
R286-5645,false,
U129-8527,false,
F420-0483,false,
M911-3670,false,
R200-3318,false,
Y041-9068,false,
P627-6836,true,3
M775-9849,false,
T681-4436,false,
D551-9911,false,
N985-7511,false,
C440-0200,false,
L392-4513,false,
G928-0433,false,
R105-6517,false,
V207-2408,false,
X735-7902,false,
W224-1681,false,
R201-8106,false,
X695-5325,false,
E610-9359,false,
T451-7530,false,
K738-2959,false,
E700-2318,true,2
T048-9592,false,
Y176-5466,false,
R050-4958,false,
U483-2231,false,
N556-3576,true,2
G499-7241,false,
R927-0243,false,
V208-3672,false,
Y467-1946,false,
K003-8936,false,
H046-7601,false,
E417-4387,false,
F066-9511,false,
W536-9137,false,
D458-5475,false,
H034-9062,false,
L458-3049,false,
X974-0313,false,
F171-9162,true,1
K149-1574,false,
U200-4966,false,
J136-5051,false,
P819-0419,false,
Y310-3538,false,
L207-8553,false,
L808-1381,false,
E331-5622,false,
N284-9615,false,
Y353-1849,false,
W396-3517,false,
G489-6136,false,
V403-7859,false,
A947-7825,false,
E772-9331,false,
L631-1159,false,
V866-9225,false,
C574-1193,false,
T029-7463,false,
P999-7031,false,
T226-5143,false,
H875-0085,false,
H461-5767,false,
K786-4749,false,
A816-3506,false,
H111-2786,false,
K091-8709,true,3
E149-2898,false,
F836-6023,false,
H710-7121,false,
N468-2409,false,
A027-5359,false,
R438-9468,false,
X988-7286,false,
H072-8337,false,
W603-1044,false,
P949-2275,false,
V740-8900,false,
J973-4302,false,
D635-4463,false,
C541-7300,false,
W582-6924,false,
U877-0307,false,
G991-2674,true,2
U865-0907,false,
H342-4925,false,
N712-3964,false,
K090-2204,false,
W978-5655,false,
K425-6943,false,
R973-3748,true,3
F660-3971,false,
L361-9708,false,
P240-6434,false,
M517-5825,false,
R900-4042,false,
W999-5790,false,
V525-3395,false,
G803-9162,false,
X785-3424,false,
J406-8015,false,
V169-8113,true,2
V817-9548,true,2
V639-4773,false,
N038-7033,false,
M582-0371,false,
T755-8625,false,
P829-0216,false,
W067-2065,false,
W221-4831,false,
G838-7724,false,
U182-6743,false,
M146-2238,false,
N774-5255,false,
P983-7505,false,
K382-8298,false,
N533-7621,false,
K548-8478,false,
V515-1552,false,
A886-3151,false,
T188-8370,false,
R646-8862,false,
M448-6048,false,
U319-8885,false,
P003-0085,false,
E734-0620,false,
H920-5851,false,
G719-6295,false,
G248-1324,false,
N130-0392,false,
J811-7035,false,
D098-4880,false,
X038-2566,false,
H626-7877,false,
W191-7996,false,
G451-0567,false,
E909-1906,false,
Y188-3441,false,
L634-3884,false,
J343-1681,false,
V394-6297,false,
A701-5402,false,
N579-6170,false,
R310-0026,false,
G680-6880,false,
Y520-2235,true,2
E052-8819,false,
N624-1022,false,
K807-6797,false,
R726-6426,false,
J168-9808,true,3
A309-5985,false,
X810-6289,false,
N379-1734,false,
V306-6042,false,
L606-9344,false,
G750-7161,false,
D828-0482,false,
Y807-7732,false,
U820-1263,false,
X641-7418,false,
P935-8258,false,
C299-9358,false,
Y273-0865,false,
P983-3808,false,
D756-3327,false,
F265-5969,false,
D956-1136,false,
M718-5479,false,
A426-3404,false,
A446-5149,false,
W389-1284,true,1
F250-9899,false,
F423-5150,false,
K346-9239,false,
L213-1071,false,
L142-7841,false,
J727-2208,false,
U012-7422,false,
C184-1404,true,1
E360-6359,false,
M820-3736,false,
F173-6279,false,
J815-1647,false,
K388-2641,false,
C915-3269,false,
F996-4202,false,
U951-8116,false,
T391-8198,false,
N517-2852,false,
U604-8184,false,
C599-6866,false,
X772-0703,false,
J111-7420,true,3
U748-2527,false,
W092-8941,false,
D099-0946,false,
M309-8118,false,
G655-0044,false,
E255-6274,false,
E155-7855,false,
R455-7829,false,
N639-4456,false,
V957-3306,true,2
Y241-8408,false,
C660-8135,false,
P538-3219,false,
R128-3208,false,
A283-3497,false,
K707-6661,false,
C067-9713,false,
W864-7313,false,
F999-8447,false,
D245-3287,false,
C849-7424,false,
Y168-7030,false,
E789-7042,false,
K217-7038,false,
R622-9910,false,
G777-5575,false,
M597-7515,false,
X234-4898,false,
A408-5402,true,2
D071-6425,false,
U341-4991,true,3
G374-6315,false,
R606-1639,false,
E565-0876,false,
F245-5698,false,
P433-0812,false,
R088-7127,false,
M500-7784,false,
A099-4838,false,
N898-8140,false,
R987-6022,false,
R563-1996,false,
D939-3799,false,
E773-1764,false,
C121-2557,false,
F224-7946,false,
F967-1461,false,
W740-3298,false,
G113-5382,false,
U509-0134,false,
Y086-8206,false,
D525-2847,false,
P989-1284,false,
T921-2352,false,
L161-8344,false,
K915-1337,true,2
T094-8624,false,
R868-3219,false,
M380-1123,false,
Y455-0335,false,
A011-6452,false,
F267-2861,false,
Y375-5719,false,
M077-2125,false,
Y543-3254,false,
A647-7967,false,
W619-2522,false,
F160-4953,false,
K298-4235,false,
J533-2371,false,
T531-0660,false,
M299-8535,false,
G758-0233,false,
E493-0539,false,
M346-9488,false,
X131-8149,false,
K482-4141,false,
U483-9763,false,
P256-5286,false,
E363-5741,true,2
C022-4622,false,
J012-6098,false,
T999-9595,true,3
K102-7435,false,
R766-6537,false,
K333-8103,false,
T893-6151,false,
X929-9188,false,
M819-7967,false,
X502-8378,false,
M455-9725,false,
G400-4497,false,
X731-6074,true,3
H796-4358,false,
X379-7891,false,
N240-6470,false,
J243-5039,false,
R113-3771,false,
H974-8224,false,
G029-2046,false,
C877-8132,false,
G146-9760,false,
T907-2641,false,
C457-1674,false,
A154-4892,false,
Y029-7061,false,
C762-5511,false,
H716-2850,false,
U650-1961,false,
T783-8089,false,
J923-4418,false,
N714-0448,false,
X256-4258,false,
A322-6742,false,
R352-1290,true,2
W578-2933,false,
X788-1051,false,
F182-5034,false,
M745-6360,false,
M273-0566,false,
F247-7998,false,
F235-9712,false,
V422-6005,false,
C338-1021,false,
M220-2345,false,
H089-7432,false,
C780-9666,false,
P326-5749,false,
A413-6993,false,
A484-7014,false,
D678-3056,false,
U256-7843,false,
X650-4639,false,
H765-0374,false,
U114-2270,false,
K490-7447,true,1
L105-3839,false,
M301-1829,false,
F806-0288,true,2
H436-0232,false,
V715-4151,false,
T193-3992,false,
C247-1701,false,
J301-8781,false,
K546-0475,false,
F391-6116,false,
L685-7638,false,
X743-9379,false,
R028-7969,false,
Y829-5470,false,
E690-1234,false,
D375-7805,false,
H023-4633,false,
H190-1621,false,
W632-7294,false,
R133-2822,false,
A602-2959,false,
T995-7365,false,
R989-2495,false,
T709-8965,false,
R623-4040,false,
V433-1108,false,
V050-9040,false,
H905-1735,false,
R066-4317,false,
C973-0194,false,
K370-4180,true,3
P966-3154,false,
E863-8876,false,
N520-3598,false,
D402-2473,false,
R842-5766,false,
D493-0781,false,
M078-6873,false,
Y327-0902,false,
Y950-0611,false,
D563-7579,false,
P246-9695,false,
X666-2010,false,
H215-1566,false,
M359-6601,false,
E038-0730,false,
D994-1658,true,1
A825-3388,false,
E749-7215,false,
Y850-7025,false,
E548-1961,false,
X339-6739,false,
U656-9902,false,
R266-0349,false,
X012-3241,false,
G215-1341,false,
C216-6701,false,
G463-5659,false,
U569-1145,false,
N641-9826,false,
G884-5427,false,
C418-7079,false,
X406-2862,false,
A924-2040,false,
M854-3214,false,
M209-9183,false,
G583-8414,false,
P264-8300,false,
D726-6503,false,
E936-5733,false,
X418-4421,false,
R682-3702,false,
T685-5943,false,
R833-4966,false,
Y302-7940,false,
F502-3986,false,
T872-1961,false,
H749-3584,false,
L372-3057,false,
E806-2405,true,2
A333-1300,false,
E499-0813,false,
V336-4587,false,
H822-6186,false,
G925-1191,false,
M691-4786,false,
L175-7206,false,
F483-2995,false,
A277-3978,false,
K607-6509,false,
D328-1663,false,
W939-4967,false,
V589-0089,false,
Y062-3642,false,
R541-2763,false,
K873-0387,true,1
D576-3065,false,
D417-4987,false,
N017-0542,false,
M744-1624,false,
W460-0065,false,
F669-0919,false,
V977-8496,false,
T920-2970,false,
A418-5754,false,
C398-5734,false,
U417-0176,false,
V905-8298,false,
U901-3886,false,
E197-4028,false,
N532-5335,false,
D200-3045,false,
G155-1472,false,
H639-8445,false,
H916-5859,false,
D123-8859,false,
D806-0588,false,
D800-3420,false,
J404-8923,false,
X300-9181,false,
J628-2186,true,2
L694-6414,true,2
G150-3078,false,
U333-1207,false,
U751-1045,false,
F684-5668,false,
Y178-7644,false,
F738-7820,false,
P283-1203,false,
M417-8257,false,
R012-6329,false,
L868-5013,true,2
P523-6697,false,
W143-5882,false,
C493-0151,false,
F626-4955,false,
W544-7050,false,
R253-5172,false,
G541-8953,false,
H984-2415,false,
F947-9610,false,
U764-5716,false,
A104-3472,false,
D887-4763,false,
Y444-4562,false,
E115-9110,true,2
X495-6669,false,
Y445-0703,false,
X052-2506,false,
F375-0176,false,
J416-6720,false,
E136-2943,false,
W597-2257,false,
W052-9397,false,
V545-0390,false,
H321-5498,false,
V791-5328,false,
G584-6428,false,
D714-9021,false,
L002-7481,false,
H454-0804,false,
L250-1092,false,
R233-3149,false,
M299-5483,true,3
X121-8102,false,
A791-1535,false,
X285-6901,false,
Y642-6313,false,
L164-9038,false,
C480-3977,false,
T320-2829,false,
R389-3444,false,
R790-4400,false,
C671-0473,false,
E437-7029,false,
D580-5897,false,
U701-0370,false,
R175-8815,false,
V868-4638,false,
W127-8050,false,
J331-4780,false,
L171-0595,false,
A782-5237,false,
D367-7394,false,
A249-7015,false,
H577-4466,false,
A712-6901,false,
U838-7120,false,
K810-6713,true,3
F730-1680,false,
D587-7739,false,
F884-5461,false,
U555-7220,false,
U685-6544,false,
R080-8277,false,
N861-0295,false,
K375-7097,false,
U805-1237,false,
H780-3567,false,
G772-8447,false,
D131-3756,false,
L895-9591,false,
X875-5376,false,
P693-2883,false,
L710-5982,false,
X543-6808,false,
W162-9204,false,
D851-9438,false,
Y095-5409,false,
N486-4856,false,
L322-4476,false,
P249-0667,false,
D327-8781,false,
R308-7802,false,
E707-0447,false,
V113-9958,false,
K635-3077,false,
J118-7963,false,
H182-4634,false,
F676-7644,false,
R888-3814,false,
F204-6426,false,
U362-9978,false,
Y874-3562,false,
X074-2462,false,
W111-1857,false,
E535-4101,true,3
X036-8350,false,
X070-9492,false,
J344-0946,false,
L163-4781,false,
F479-4241,false,
W826-0031,false,
E287-6624,false,
A359-9041,false,
C109-5153,false,
R475-6359,false,
T403-0141,false,
C597-5818,false,
E409-9776,false,
K753-6301,false,
M672-4833,false,
V560-3255,false,
J022-0428,false,
V117-2188,false,
X418-4938,false,
M742-1692,false,
D165-2276,false,
P775-9090,false,
J283-3902,false,
R271-0648,false,
G233-1141,false,
U664-5929,false,
N790-3070,false,
F816-6724,false,
J753-5919,false,
L775-5946,false,
X480-2932,false,
A966-9266,false,
V778-0340,false,
T017-5135,false,
X124-6966,false,
Y205-7596,false,
D445-6400,false,
W117-8311,false,
W135-9580,false,
D328-3351,true,3
W942-6447,false,
E341-8505,false,
X855-3579,false,
W140-5057,false,
D731-2767,false,
H449-0896,false,
T649-4596,false,
V315-7530,false,
H266-8535,false,
U183-8410,false,
P362-0475,false,
G228-0811,false,
R006-6800,false,
Y412-9998,false,
J360-2719,false,
V781-9881,false,
R426-4323,false,
L414-6940,false,
K428-2508,false,
U104-3252,false,
D125-2131,false,
X699-2923,false,
Y505-5970,false,
E967-8933,false,
A085-0389,false,
V351-4871,false,
Y723-9379,false,
J273-3595,false,
M488-5343,false,
F644-7928,false,
E861-2224,false,
M490-5477,false,
D332-4401,false,
T748-6433,false,
N181-3497,false,
Y636-0376,false,
J104-2489,false,
M128-5778,false,
C359-4093,false,
H969-3708,true,3
M565-7412,false,
W792-2195,false,
M418-7818,false,
K574-5737,false,
E715-4294,false,
N542-7907,false,
V875-4236,false,
A067-2709,false,
P502-1085,false,
R008-4382,false,
M347-7264,true,1
J407-4542,false,
X711-3064,false,
L754-7786,false,
D769-7568,false,
W312-4529,false,
Y083-8842,false,
M608-7943,false,
P490-4152,false,
E866-1031,false,
X727-1825,false,
R943-6521,false,
Y506-1046,false,
T936-9961,false,
U103-3770,false,
T382-4818,false,
W838-2377,true,3
R684-2223,false,
D225-4280,false,
J957-9732,false,
W391-5633,false,
R459-2428,false,
J480-0680,false,
H380-6670,false,
X447-0167,false,
F235-5524,false,
H711-7315,false,
C774-7328,false,
F724-3804,false,
J296-9222,false,
E688-8545,false,
P300-3681,false,
T544-3016,false,
J251-0163,false,
N713-4788,false,
A871-7702,false,
P875-7216,false,
H389-6795,false,
D701-4774,false,
G754-4992,false,
G271-4583,false,
V888-7365,false,
J127-7995,false,
G572-4374,false,
P675-7350,false,
H089-9793,false,
Y864-0349,false,
E912-8427,false,
W380-2555,false,
V832-6391,false,
T442-0187,false,
P216-6284,false,
M812-5687,false,
R410-2772,false,
E134-6380,false,
A032-1277,false,
A279-0779,false,
E765-8333,false,
K807-0698,false,
G849-2859,false,
T019-2099,false,
C457-3715,false,
C410-3528,false,
K404-8160,false,
G269-6940,false,
D000-7599,true,3
X352-4714,false,
J531-0653,false,
M685-8282,false,
E455-4180,false,
Y654-3723,false,
V490-2587,false,
D797-8131,false,
C421-4721,false,
W152-9665,false,
X004-9653,false,
V160-1436,false,
E528-4540,false,
P035-9082,false,
X441-8405,false,
F518-2174,false,
R195-4548,false,
G121-3213,false,
N929-4400,false,
A841-8809,true,1
E387-1682,false,
V775-3376,false,
T003-6353,false,
J736-3235,false,
U313-1673,false,
L327-2000,false,
G346-3940,false,
H584-8216,false,
A591-4747,true,2
D343-8574,false,
G398-4518,false,
A057-9612,false,
K761-6502,false,
F514-3650,false,
Y820-9644,false,
X600-6893,true,1
E658-8436,false,
V138-4847,false,
J570-8040,false,
V217-1327,true,2
E579-8114,false,
M315-9474,false,
D181-9572,false,
W260-0537,false,
T982-0283,true,3
U054-3201,false,
N387-8707,false,
F127-0310,false,
U090-0083,false,
J325-9761,false,
Y965-7879,false,
Y945-4388,false,
X053-9000,false,
K133-9881,false,
R442-9380,true,1
C099-5243,false,
Y967-5801,false,
D660-7633,false,
M184-0845,false,
T174-6210,false,
Y482-2934,false,
R001-6724,false,
P682-1911,false,
E923-5896,false,
F942-5838,false,
X801-5683,false,
T637-4282,false,
D712-4821,false,
D643-9017,false,
E575-0839,false,
E553-3189,false,
W222-3130,false,
V527-8201,false,
T391-9152,false,
Y639-0584,false,
T228-3951,false,
F250-4089,false,
T780-5086,false,
R970-3623,false,
R506-4099,false,
L069-8336,false,
K316-9887,false,
X669-9780,false,
X599-0913,false,
K283-8671,false,
W447-7873,false,
P091-1440,false,
M418-5395,false,
Y000-8555,false,
W852-9237,false,
L238-2311,false,
C862-8827,false,
X238-4588,false,
F280-8707,false,
M294-7920,false,
U404-8836,false,
T333-9249,false,
D301-2655,false,
K573-5582,false,
H614-6509,false,
Y922-4813,false,
D696-0559,false,
N201-5666,false,
J730-9977,false,
Y346-9799,true,3
F830-8220,false,
M425-5461,false,
P282-4653,false,
V267-9169,false,
Y601-7874,true,1
T372-4863,false,
D392-1256,true,3
A491-7788,false,
E908-4841,false,
J475-7874,false,
U308-9009,false,
N304-5735,false,
T405-0968,false,
X839-8573,false,
G567-9113,true,2
D141-1907,false,
H351-0844,false,
X374-6783,false,
D371-2912,false,
E248-2273,false,
E751-2623,false,
Y823-1433,false,
E070-2317,false,
L577-5044,false,
N995-9034,false,
W483-6603,false,
Y609-3452,false,
W612-9556,false,
F918-4090,false,
H773-3660,false,
L659-9224,false,
M486-6432,false,
F148-5396,false,
W298-4959,false,
R811-7974,false,
T350-2859,false,
T856-5558,false,
U668-0590,false,
K923-6835,true,1
N025-5656,false,
J333-1372,false,
W369-7235,false,
T345-5232,false,
T491-8245,false,
J135-7799,false,
C409-8001,false,
D964-8480,false,
J364-8775,false,
V642-8841,false,
W837-0251,false,
W877-7625,false,
C533-4163,false,
M372-6469,false,
A614-3696,false,
N204-4431,false,
Y141-2293,false,
L204-8342,false,
C185-6637,false,
W698-0606,false,
Y928-7954,false,
X199-3050,false,
X991-6104,false,
X168-4290,false,
R996-2690,false,
N872-0624,false,
U462-9369,false,
Y570-8928,false,
L360-7815,false,
G096-9242,false,
G980-5283,true,3
K768-6018,false,
W944-7133,false,
C826-9913,true,2
J014-7508,false,
R988-7119,false,
H479-2839,false,
H750-7523,false,
C204-6988,false,
C350-4469,false,
J086-8868,false,
U728-1518,true,1
H493-5941,false,
Y186-8510,false,
A012-3466,false,
M479-1650,false,
R676-5541,false,
F984-1589,false,
E296-4962,false,
C982-7668,false,
G689-2428,false,
H502-6728,false,
U208-2488,false,
J668-2918,false,
F818-7490,false,
P704-9475,false,
R023-9410,false,
J186-2874,false,
K280-3448,false,
J692-5277,false,
U237-3050,false,
H659-8034,false,
J914-8291,false,
N495-7813,false,
L415-0422,false,
A903-5305,false,
H802-8955,false,
M356-1823,false,
P442-7137,false,
P803-8784,false,
N488-9694,true,3
V585-7176,false,
M006-4321,false,
Y311-7892,false,
R229-9734,false,
R738-4143,false,
X706-3479,true,3
U947-7129,false,
K317-8363,false,
G632-5312,false,
N609-7825,false,
K570-0924,false,
J219-7704,false,
A033-0357,false,
E764-4250,false,
A040-4371,false,
L854-6102,false,
M648-1320,false,
J131-6330,false,
T113-7523,false,
P595-0704,false,
C184-2558,false,
H071-5878,false,
M607-1827,false,
Y114-6694,false,
Y040-0673,true,1
A004-6825,false,
M556-9973,false,
J682-0960,false,
G046-5342,false,
V828-0746,false,
J012-5781,false,
Y946-7293,true,3
A092-8695,false,
K045-0596,false,
F252-2390,false,
A869-0938,false,
N022-1598,false,
T069-5662,false,
P797-4555,false,
L732-1972,false,
W787-1992,false,
J806-4527,false,
U980-5115,false,
F000-1572,false,
L104-6449,false,
F276-8374,false,
M131-7992,false,
P484-5844,false,
M216-7512,false,
A585-8426,false,
Y710-1109,false,
W820-5420,false,
K115-1294,false,
C219-3777,false,
L548-1445,false,
H011-6231,false,
L172-2964,false,
M518-9633,false,
J596-4507,false,
J418-1742,false,
E941-4220,true,3
P951-1000,false,
N961-5294,false,
K961-1090,false,
R781-5291,false,
U610-0090,false,
X419-2778,false,
T135-9467,false,
C246-3644,false,
G182-1805,false,
L767-3901,false,
G176-7840,false,
M721-3214,false,
T224-7109,false,
H246-7581,false,
K892-2192,false,
X458-7520,false,
F315-4354,false,
M615-3961,false,
Y216-7123,false,
T259-5477,false,
Y002-4498,false,
R543-0395,false,
R413-0453,false,
G549-2703,false,
V048-5282,false,
J434-0378,false,
K807-3125,false,
R318-0726,false,
R376-9688,false,
K956-7567,false,
K607-8219,false,
Y781-9695,false,
U879-5314,false,
M671-3428,false,
K199-3685,false,
H780-7108,false,
D617-0728,false,
A041-9393,false,
N160-2736,false,
K070-7229,false,
G766-2714,false,
C080-1872,false,
N843-6896,false,
L670-0491,false,
J417-9635,false,
L211-0787,false,
H325-3189,false,
A376-3913,false,
M141-0153,false,
G885-4891,false,
T608-8552,false,
Y744-2472,true,3
J381-2532,false,
J964-4506,false,
L657-0996,false,
L263-0217,false,
W862-9146,false,
R023-0804,false,
W762-5488,false,
T756-5673,false,
H567-2248,false,
H061-4332,false,
E872-7146,false,
W732-6345,false,
T988-4379,false,
P687-9871,false,
N228-7191,false,
E013-0228,false,
T911-1385,false,
R330-2342,false,
U322-1674,false,
H660-1602,false,
H849-6285,false,
T725-4959,false,
P893-3158,false,
Y905-5301,true,1
L223-8222,false,
P275-8080,false,
V690-3587,false,
P109-3081,true,1
L694-7708,false,
K177-5484,false,
M716-6552,false,
H462-0809,false,
T926-5942,false,
N301-1659,false,
N684-9927,false,
G644-9799,false,
H494-4867,false,
R116-3795,false,
W073-7086,false,
G072-6324,false,
D069-6751,true,2
X864-3109,false,
M644-8763,false,
A610-5354,false,
N917-5955,false,
T833-6643,false,
D133-7357,false,
T825-7782,false,
K668-4401,false,
E417-4598,false,
W813-0295,false,
V042-2489,false,
M818-6561,false,
P971-6580,false,
U143-1480,false,
T499-5243,false,
X934-2872,true,2
D972-8937,false,
T342-0727,false,
N643-0155,true,3
R157-6855,false,
V872-2675,false,
H680-4361,false,
U275-9489,false,
W866-8629,false,
J230-9062,false,
R789-2006,false,
L376-8558,false,
W300-3471,false,
V270-7793,false,
V360-6035,false,
M274-2397,false,
A770-2728,false,
E721-7679,false,
F361-5994,false,
P433-9620,false,
P682-2250,false,
Y211-9960,false,
U347-4477,false,
T679-5481,false,
T390-0619,false,
C618-5955,false,
H860-2149,false,
P687-8554,false,
C954-0657,false,
A083-9149,false,
V628-6892,false,
Y579-4050,false,
T372-9587,false,
U096-8664,false,
J987-0887,false,
J012-7311,false,
J892-1150,false,
F027-4408,false,
C762-4946,false,
Y714-5850,false,
C059-7130,false,
A466-2849,false,
K975-5933,false,
J028-0188,false,
Y947-4725,false,
H941-4894,false,
U101-6353,false,
W876-7340,false,
Y282-5893,false,
M488-2052,false,
W026-8429,false,
F469-5515,false,
D476-6824,false,
H003-0719,false,
W089-4359,false,
Y558-6250,true,1
P661-4530,false,
T617-0974,false,
D941-6150,false,
L395-5749,false,
T264-3401,false,
E084-8412,false,
P241-8012,false,
C292-1538,false,
A874-7684,false,
J893-4084,false,
W903-4363,false,
K452-7049,false,
N165-8273,false,
F671-7260,false,
C403-3103,false,
U933-8583,false,
D931-6023,false,
F325-8359,false,
Y279-8075,false,
L812-0670,false,
R007-1505,false,
R429-5071,false,
M524-7804,false,
J280-0009,false,
P799-1139,false,
K351-3853,false,
W848-3429,false,
K255-4758,false,
H051-3505,false,
A738-6088,false,
A539-9290,false,
M144-5290,false,
C788-9039,false,
A112-1314,false,
T546-7089,false,
A092-0471,false,
J816-1030,false,
K485-9086,false,
E821-0658,false,
V785-0638,false,
T174-0717,false,
J811-2310,false,
A054-4659,false,
J523-0761,false,
Y509-4561,false,
A508-1003,false,
E850-2930,false,
R815-0403,false,
Y304-1843,false,
U444-7289,false,
J994-0773,false,
L056-3022,false,
L095-5477,false,
D999-0122,false,
D476-2170,false,
H750-1427,false,
K145-8627,false,
J994-6748,false,
M480-5668,false,
G147-7953,false,
A418-6861,false,
D491-8578,false,
K091-6280,false,
E713-7598,false,
F574-4123,false,
C062-9919,false,
R906-8020,false,
E009-3519,false,
J311-9136,false,
N614-6307,false,
M322-1838,false,
D853-3882,false,
J369-9030,false,
X521-1095,false,
N783-5606,false,
R753-9451,false,
J739-6050,false,
W647-0898,false,
A960-2606,false,
H105-0824,false,
K741-8237,false,
D983-0291,false,
R808-2855,false,
P043-6175,false,
C752-6069,false,
W929-6516,false,
H460-2611,false,
X674-8749,false,
P310-7380,false,
N614-6928,false,
C639-9327,false,
Y951-6349,false,
D352-1727,false,
R544-6968,false,
F611-3462,false,
W648-5499,false,
C445-4030,false,
X001-9251,false,
E626-9898,false,
M053-9785,false,
A307-8187,false,
A410-2717,true,3
P234-0513,false,
X202-0046,false,
L379-7982,false,
R549-1115,false,
K369-5755,true,2
D836-8322,false,
K277-4276,false,
M801-2947,false,
N328-9612,false,
C697-8494,false,
J617-1021,false,
X914-3756,false,
M783-1794,false,
T827-7375,false,
U892-4043,false,
T222-7834,false,
F538-0275,false,
L401-9344,false,
F331-1613,false,
G423-0063,false,
V179-8682,false,
K658-8222,false,
G589-0384,false,
P793-9180,false,
C830-3592,false,
Y033-8644,false,
X899-0210,false,
K767-4661,false,
L423-9359,false,
F304-4583,false,
Y213-8312,false,
N731-7471,false,
H681-4879,false,
P156-7549,false,
P346-4827,false,
G846-2922,false,
N269-6673,true,3
A457-2091,false,
T014-9667,false,
A369-8641,false,
L608-9248,true,2
R370-5619,false,
H796-7731,false,
H599-1940,false,
M905-6350,false,
N923-9005,false,
K793-0386,false,
H420-4362,false,
E756-5063,false,
D835-9915,false,
W097-7831,false,
H970-8644,false,
L498-9297,false,
X631-4944,true,2
P417-1710,false,
U725-6688,false,
K630-9072,false,
C607-4772,false,
D744-6383,false,
A729-5237,false,
H023-8523,false,
N831-1493,false,
J061-6455,false,
D894-1133,false,
G390-1019,false,
D302-9888,false,
Y022-8790,false,
X634-5934,false,
G534-2363,false,
D814-7073,false,
A263-4490,false,
U525-2993,false,
L372-8901,false,
M755-4335,false,
T790-3950,false,
M160-5255,false,
K229-0946,false,
R118-9273,false,
G648-1968,false,
J144-3760,false,
G236-5981,false,
G722-1563,false,
J598-0276,false,
D992-0979,false,
U456-5934,false,
R298-4521,false,
A188-4840,false,
R813-2418,false,
K582-5499,false,
K327-0465,false,
H314-0804,false,
L087-1716,false,
X511-8594,false,
G694-1659,false,
L005-3669,false,
F214-9790,false,
D765-2365,false,
C083-4126,false,
V461-0521,false,
U113-7945,false,
M216-4930,false,
U598-9843,false,
X400-1609,false,
M448-0064,false,
Y909-4475,false,
